,crash_probability,volatility,max_drawdown,risk_score
Los Angeles,0.01694915254237288,0.010327725849352138,-0.4147088074598617,0.09451465551796444
San Francisco,0.025423728813559324,0.011496935212848032,-0.45339988197831327,0.10684092136629673
San Diego,0.012711864406779662,0.010437243921048838,-0.4223488618789266,0.09395687775548982
Las Vegas,0.03389830508474576,0.012162880365017689,-0.6160328175413596,0.14380458016015013
Phoenix,0.036016949152542374,0.01182964166520389,-0.5644304921882717,0.1344434655134867
Seattle,0.00423728813559322,0.008413513825936048,-0.3048392886019732,0.06561055593597206
Denver,0.0,0.005843012552667229,-0.11636989076357174,0.02502688191851452
Miami,0.023305084745762712,0.010060992569902599,-0.509739483911829,0.11661873692621794
New York,0.0,0.006353851314137886,-0.2589226408836588,0.05369068357097313
Chicago,0.00211864406779661,0.006871292993224738,-0.3750913846732631,0.07813898686651835
Boston,0.0,0.006414541655953724,-0.1770969743882953,0.03734375737444518
Washington DC,0.0,0.007517510377191068,-0.32925922923973405,0.06810709896110413
